Title,Summary,Updated,Category,Link
Introduction to Queueing Theory and Stochastic Teletraffic Models,"  The aim of this textbook is to provide students with basic knowledge of
stochastic models that may apply to telecommunications research areas, such as
traffic modelling, resource provisioning and traffic management. These study
areas are often collectively called teletraffic. This book assumes prior
knowledge of a programming language, mathematics, probability and stochastic
processes normally taught in an electrical engineering course. For students who
have some but not sufficiently strong background in probability and stochastic
processes, we provide, in the first few chapters, background on the relevant
concepts in these areas.
",2023-06-13,Mathematics - Probability,http://arxiv.org/abs/1307.2968
"Homology and Bisimulation of Asynchronous Transition Systems and Petri
  Nets","  Homology groups of labelled asynchronous transition systems and Petri nets
are introduced. Examples of computing the homology groups are given. It is
proved that if labelled asynchronous transition systems are bisimulation
equivalent, then they have isomorphic homology groups. A method of constructing
a Petri net with given homology groups is found.
",2023-04-19,Computer Science - Logic in Computer Science,http://arxiv.org/abs/1307.5377
"Does generalization performance of $l^q$ regularization learning depend
  on $q$? A negative example","  $l^q$-regularization has been demonstrated to be an attractive technique in
machine learning and statistical modeling. It attempts to improve the
generalization (prediction) capability of a machine (model) through
appropriately shrinking its coefficients. The shape of a $l^q$ estimator
differs in varying choices of the regularization order $q$. In particular,
$l^1$ leads to the LASSO estimate, while $l^{2}$ corresponds to the smooth
ridge regression. This makes the order $q$ a potential tuning parameter in
applications. To facilitate the use of $l^{q}$-regularization, we intend to
seek for a modeling strategy where an elaborative selection on $q$ is
avoidable. In this spirit, we place our investigation within a general
framework of $l^{q}$-regularized kernel learning under a sample dependent
hypothesis space (SDHS). For a designated class of kernel functions, we show
that all $l^{q}$ estimators for $0< q < \infty$ attain similar generalization
error bounds. These estimated bounds are almost optimal in the sense that up to
a logarithmic factor, the upper and lower bounds are asymptotically identical.
This finding tentatively reveals that, in some modeling contexts, the choice of
$q$ might not have a strong impact in terms of the generalization capability.
From this perspective, $q$ can be arbitrarily specified, or specified merely by
other no generalization criteria like smoothness, computational complexity,
sparsity, etc..
",2023-06-14,Computer Science - Machine Learning,http://arxiv.org/abs/1307.6616
Rapid rise and decay in petition signing,"  Contemporary collective action, much of which involves social media and other
Internet-based platforms, leaves a digital imprint which may be harvested to
better understand the dynamics of mobilization. Petition signing is an example
of collective action which has gained in popularity with rising use of social
media and provides such data for the whole population of petition signatories
for a given platform. This paper tracks the growth curves of all 20,000
petitions to the UK government petitions website
(http://epetitions.direct.gov.uk) and 1,800 petitions to the US White House
site (https://petitions.whitehouse.gov), analyzing the rate of growth and
outreach mechanism. Previous research has suggested the importance of the first
day to the ultimate success of a petition, but has not examined early growth
within that day, made possible here through hourly resolution in the data. The
analysis shows that the vast majority of petitions do not achieve any measure
of success; over 99 percent fail to get the 10,000 signatures required for an
official response and only 0.1 percent attain the 100,000 required for a
parliamentary debate (0.7 percent in the US). We analyze the data through a
multiplicative process model framework to explain the heterogeneous growth of
signatures at the population level. We define and measure an average outreach
factor for petitions and show that it decays very fast (reducing to 0.1 pervent
after 10 hours in the UK and 30 hours in the US). After a day or two, a
petition's fate is virtually set. The findings challenge conventional analyses
of collective action from economics and political science, where the production
function has been assumed to follow an S-shaped curve.
",2023-01-05,Physics - Physics and Society,http://arxiv.org/abs/1308.0239
"Convergence Rates of Distributed Nesterov-like Gradient Methods on
  Random Networks","  We consider distributed optimization in random networks where N nodes
cooperatively minimize the sum \sum_{i=1}^N f_i(x) of their individual convex
costs. Existing literature proposes distributed gradient-like methods that are
computationally cheap and resilient to link failures, but have slow convergence
rates. In this paper, we propose accelerated distributed gradient methods that:
1) are resilient to link failures; 2) computationally cheap; and 3) improve
convergence rates over other gradient methods. We model the network by a
sequence of independent, identically distributed random matrices {W(k)} drawn
from the set of symmetric, stochastic matrices with positive diagonals. The
network is connected on average and the cost functions are convex,
differentiable, with Lipschitz continuous and bounded gradients. We design two
distributed Nesterov-like gradient methods that modify the D-NG and D-NC
methods that we proposed for static networks. We prove their convergence rates
in terms of the expected optimality gap at the cost function. Let k and K be
the number of per-node gradient evaluations and per-node communications,
respectively. Then the modified D-NG achieves rates O(log k/k) and O(\log K/K),
and the modified D-NC rates O(1/k^2) and O(1/K^{2-\xi}), where \xi>0 is
arbitrarily small. For comparison, the standard distributed gradient method
cannot do better than \Omega(1/k^{2/3}) and \Omega(1/K^{2/3}), on the same
class of cost functions (even for static networks). Simulation examples
illustrate our analytical findings.
",2023-07-19,Computer Science - Information Theory,http://arxiv.org/abs/1308.0916
"Gradient Magnitude Similarity Deviation: A Highly Efficient Perceptual
  Image Quality Index","  It is an important task to faithfully evaluate the perceptual quality of
output images in many applications such as image compression, image restoration
and multimedia streaming. A good image quality assessment (IQA) model should
not only deliver high quality prediction accuracy but also be computationally
efficient. The efficiency of IQA metrics is becoming particularly important due
to the increasing proliferation of high-volume visual data in high-speed
networks. We present a new effective and efficient IQA model, called gradient
magnitude similarity deviation (GMSD). The image gradients are sensitive to
image distortions, while different local structures in a distorted image suffer
different degrees of degradations. This motivates us to explore the use of
global variation of gradient based local quality map for overall image quality
prediction. We find that the pixel-wise gradient magnitude similarity (GMS)
between the reference and distorted images combined with a novel pooling
strategy the standard deviation of the GMS map can predict accurately
perceptual image quality. The resulting GMSD algorithm is much faster than most
state-of-the-art IQA methods, and delivers highly competitive prediction
accuracy.
",2023-07-19,Computer Science - Computer Vision and Pattern Recognition,http://arxiv.org/abs/1308.3052
Undecidability of MM-QFAs Language Equivalence Problem,"  Let $L_{>\lambda}(\mathcal{A})$ and $L_{\geq\lambda}(\mathcal{A})$ be the
languages recognized by {\em measure many 1-way quantum finite automata
(MM-QFA)} (or,{\em enhanced 1-way quantum finite automata(EQFA)}) $\mathcal{A}$
with strict and non-strict cut-point $\lambda$, respectively. We consider the
language equivalence problem and show the following
  1. both strict and non-strict language equivalence are undecidable;
  2. we provide an another proof of the undecidability of non-strict and strict
emptiness of MM-QFA and EQFA, and then reducing the language equivalence
problem to emptiness problem;
  3. lastly, we obtain some other properties which can be derived from the
above results.
",2023-06-06,Computer Science - Formal Languages and Automata Theory,http://arxiv.org/abs/1308.3301
Simple and Robust Boolean Operations for Triangulated Surfaces,"  Boolean operations of geometric models is an essential issue in computational
geometry. In this paper, we develop a simple and robust approach to perform
Boolean operations on closed and open triangulated surfaces. Our method mainly
has two stages: (1) We firstly find out candidate intersected-triangles pairs
based on Octree and then compute the inter-section lines for all pairs of
triangles with parallel algorithm; (2) We form closed or open
intersection-loops, sub-surfaces and sub-blocks quite robustly only according
to the cleared and updated topology of meshes while without coordinate
computations for geometric enti-ties. A novel technique instead of
inside/outside classification is also proposed to distinguish the resulting
union, subtraction and intersection. Several examples have been given to
illus-trate the effectiveness of our approach.
",2023-07-19,Computer Science - Computational Geometry,http://arxiv.org/abs/1308.4434
"Matrix Completion in Colocated MIMO Radar: Recoverability, Bounds &
  Theoretical Guarantees","  It was recently shown that low rank matrix completion theory can be employed
for designing new sampling schemes in the context of MIMO radars, which can
lead to the reduction of the high volume of data typically required for
accurate target detection and estimation. Employing random samplers at each
reception antenna, a partially observed version of the received data matrix is
formulated at the fusion center, which, under certain conditions, can be
recovered using convex optimization. This paper presents the theoretical
analysis regarding the performance of matrix completion in colocated MIMO radar
systems, exploiting the particular structure of the data matrix. Both Uniform
Linear Arrays (ULAs) and arbitrary 2-dimensional arrays are considered for
transmission and reception. Especially for the ULA case, under some mild
assumptions on the directions of arrival of the targets, it is explicitly shown
that the coherence of the data matrix is both asymptotically and approximately
optimal with respect to the number of antennas of the arrays involved and
further, the data matrix is recoverable using a subset of its entries with
minimal cardinality. Sufficient conditions guaranteeing low matrix coherence
and consequently satisfactory matrix completion performance are also presented,
including the arbitrary 2-dimensional array case.
",2023-07-19,Computer Science - Information Theory,http://arxiv.org/abs/1308.4994
The Fractal Dimension of SAT Formulas,"  Modern SAT solvers have experienced a remarkable progress on solving
industrial instances. Most of the techniques have been developed after an
intensive experimental testing process. Recently, there have been some attempts
to analyze the structure of these formulas in terms of complex networks, with
the long-term aim of explaining the success of these SAT solving techniques,
and possibly improving them.
  We study the fractal dimension of SAT formulas, and show that most industrial
families of formulas are self-similar, with a small fractal dimension. We also
show that this dimension is not affected by the addition of learnt clauses. We
explore how the dimension of a formula, together with other graph properties
can be used to characterize SAT instances. Finally, we give empirical evidence
that these graph properties can be used in state-of-the-art portfolios.
",2023-03-14,Computer Science - Artificial Intelligence,http://arxiv.org/abs/1308.5046
"Toward an Interactive Directory for Norfolk, Nebraska: 1899-1900","  We describe steps toward an interactive directory for the town of Norfolk,
Nebraska for the years 1899 and 1900. This directory would extend the
traditional city directory by including a wider range of entities being
described, much richer information about the entities mentioned and linkages to
mentions of the entities in material such as digitized historical newspapers.
Such a directory would be useful to readers who browse the historical
newspapers by providing structured summaries of the entities mentioned. We
describe the occurrence of entities in two years of the Norfolk Weekly News,
focusing on several individuals to better understand the types of information
which can be gleaned from historical newspapers and other historical materials.
We also describe a prototype program which coordinates information about
entities from the traditional city directories, the federal census, and from
newspapers. We discuss the structured coding for these entities, noting that
richer coding would increasingly include descriptions of events and scenarios.
We propose that rich content about individuals and communities could eventually
be modeled with agents and woven into historical narratives.
",2023-03-07,Computer Science - Digital Libraries,http://arxiv.org/abs/1308.5395
"Resource Allocation in MIMO Radar With Multiple Targets for Non-Coherent
  Localization","  In a MIMO radar network the multiple transmit elements may emit waveforms
that differ on power and bandwidth. In this paper, we are asking, given that
these two resources are limited, what is the optimal power, optimal bandwidth
and optimal joint power and bandwidth allocation for best localization of
multiple targets. The well known Cr\'amer-Rao lower bound for target
localization accuracy is used as a figure of merit and approximate solutions
are found by minimizing a sequence of convex problems. Their quality is
assessed through extensive numerical simulations and with the help of a
lower-bound on the true solution. Simulations results reveal that bandwidth
allocation policies have a definitely stronger impact on performance than
power.
",2023-07-19,Computer Science - Information Theory,http://arxiv.org/abs/1308.6543
Sigma Point Belief Propagation,"  The sigma point (SP) filter, also known as unscented Kalman filter, is an
attractive alternative to the extended Kalman filter and the particle filter.
Here, we extend the SP filter to nonsequential Bayesian inference corresponding
to loopy factor graphs. We propose sigma point belief propagation (SPBP) as a
low-complexity approximation of the belief propagation (BP) message passing
scheme. SPBP achieves approximate marginalizations of posterior distributions
corresponding to (generally) loopy factor graphs. It is well suited for
decentralized inference because of its low communication requirements. For a
decentralized, dynamic sensor localization problem, we demonstrate that SPBP
can outperform nonparametric (particle-based) BP while requiring significantly
less computations and communications.
",2023-07-19,Computer Science - Artificial Intelligence,http://arxiv.org/abs/1309.0363
"Application of Expurgated PPM to Indoor Visible Light Communications -
  Part I: Single-User Systems","  Visible light communications (VLC) in indoor environments suffer from the
limited bandwidth of LEDs as well as from the inter-symbol interference (ISI)
imposed by multipath. In this work, transmission schemes to improve the
performance of indoor optical wireless communication (OWC) systems are
introduced. Expurgated pulse-position modulation (EPPM) is proposed for this
application since it can provide a wide range of peak to average power ratios
(PAPR) needed for dimming of the indoor illumination. A correlation decoder
used at the receiver is shown to be optimal for indoor VLC systems, which are
shot noise and background-light limited. Interleaving applied on EPPM in order
to decrease the ISI effect in dispersive VLC channels can significantly
decrease the error probability. The proposed interleaving technique makes EPPM
a better modulation option compared to PPM for VLC systems or any other
dispersive OWC system. An overlapped EPPM pulse technique is proposed to
increase the transmission rate when bandwidth-limited white LEDs are used as
sources.
",2023-07-19,Computer Science - Information Theory,http://arxiv.org/abs/1309.0750
"Application of Expurgated PPM to Indoor Visible Light Communications -
  Part II: Access Networks","  Providing network access for multiple users in a visible light communication
(VLC) system that utilizes white light emitting diodes (LED) as sources
requires new networking techniques adapted to the lighting features. In this
paper we introduce two multiple access techniques using expurgated PPM (EPPM)
that can be implemented using LEDs and support lighting features such as
dimming. Multilevel symbols are used to provide M-ary signaling for multiple
users using multilevel EPPM (MEPPM). Using these multiple-access schemes we are
able to control the optical peak to average power ratio (PAPR) in the system,
and hereby control the dimming level. In the first technique, the M-ary data of
each user is first encoded using an optical orthogonal code (OOC) assigned to
the user, and the result is fed into a EPPM encoder to generate a multilevel
signal. The second multiple access method uses sub-sets of the EPPM
constellation to apply MEPPM to the data of each user. While the first approach
has a larger Hamming distance between the symbols of each user, the latter can
provide higher bit-rates for users in VLC systems using bandwidth-limited LEDs.
",2023-07-19,Computer Science - Information Theory,http://arxiv.org/abs/1309.0775
On topological and geometric $(19_4)$ configurations,"  An $(n_k)$ configuration is a set of $n$ points and $n$ lines such that each
point lies on $k$ lines while each line contains $k$ points. The configuration
is geometric, topological, or combinatorial depending on whether lines are
considered to be straight lines, pseudolines, or just combinatorial lines. The
existence and enumeration of $(n_k)$ configurations for a given $k$ has been
subject to active research. A current front of research concerns geometric
$(n_4)$ configurations: it is now known that geometric $(n_4)$ configurations
exist for all $n \ge 18$, apart from sporadic exceptional cases. In this paper,
we settle by computational techniques the first open case of $(19_4)$
configurations: we obtain all topological $(19_4)$ configurations among which
none are geometrically realizable.
",2023-11-14,Computer Science - Computational Geometry,http://arxiv.org/abs/1309.3201
"Numerical solutions of a class of second order boundary value problems
  on using Bernoulli Polynomials","  The aim of this paper is to find the numerical solutions of the second order
linear and nonlinear differential equations with Dirichlet, Neumann and Robin
boundary conditions. We use the Bernoulli polynomials as linear combination to
the approximate solutions of 2nd order boundary value problems. Here the
Bernoulli polynomials over the interval [0, 1] are chosen as trial functions so
that care has been taken to satisfy the corresponding homogeneous form of the
Dirichlet boundary conditions in the Galerkin weighted residual method. In
addition to that the given differential equation over arbitrary finite domain
[a, b] and the boundary conditions are converted into its equivalent form over
the interval [0, 1]. All the formulas are verified by considering numerical
examples. The approximate solutions are compared with the exact solutions, and
also with the solutions of the existing methods. A reliable good accuracy is
obtained in all cases.
",2023-05-31,Mathematics - Numerical Analysis,http://arxiv.org/abs/1309.6064
"Graphs of Edge-Intersecting Non-Splitting Paths in a Tree:
  Representations of Holes-Part II","  Given a tree and a set P of non-trivial simple paths on it, VPT(P) is the VPT
graph (i.e. the vertex intersection graph) of the paths P, and EPT(P) is the
EPT graph (i.e. the edge intersection graph) of P. These graphs have been
extensively studied in the literature. Given two (edge) intersecting paths in a
graph, their split vertices is the set of vertices having degree at least 3 in
their union. A pair of (edge) intersecting paths is termed non-splitting if
they do not have split vertices (namely if their union is a path). We define
the graph ENPT(P) of edge intersecting non-splitting paths of a tree, termed
the ENPT graph, as the graph having a vertex for each path in P, and an edge
between every pair of vertices representing two paths that are both
edge-intersecting and non-splitting. A graph G is an ENPT graph if there is a
tree T and a set of paths P of T such that G=ENPT(P), and we say that <T,P> is
a representation of G.
  Our goal is to characterize the representation of chordless ENPT cycles
(holes). To achieve this goal, we first assume that the EPT graph induced by
the vertices of an ENPT hole is given. In [2] we introduce three assumptions
(P1), (P2), (P3) defined on EPT, ENPT pairs of graphs. In the same study, we
define two problems HamiltonianPairRec, P3-HamiltonianPairRec and characterize
the representations of ENPT holes that satisfy (P1), (P2), (P3).
  In this work, we continue our work by relaxing these three assumptions one by
one. We characterize the representations of ENPT holes satisfying (P3) by
providing a polynomial-time algorithm to solve P3-HamiltonianPairRec. We also
show that there does not exist a polynomial-time algorithm to solve
HamiltonianPairRec, unless P=NP.
",2023-06-22,Computer Science - Discrete Mathematics,http://arxiv.org/abs/1309.6471
"Multiuser Diversity for Secrecy Communications Using Opportunistic
  Jammer Selection -- Secure DoF and Jammer Scaling Law","  In this paper, we propose opportunistic jammer selection in a wireless
security system for increasing the secure degrees of freedom (DoF) between a
transmitter and a legitimate receiver (say, Alice and Bob). There is a jammer
group consisting of $S$ jammers among which Bob selects $K$ jammers. The
selected jammers transmit independent and identically distributed Gaussian
signals to hinder the eavesdropper (Eve). Since the channels of Bob and Eve are
independent, we can select the jammers whose jamming channels are aligned at
Bob, but not at Eve. As a result, Eve cannot obtain any DoF unless it has more
than $KN_j$ receive antennas, where $N_j$ is the number of jammer's transmit
antenna each, and hence $KN_j$ can be regarded as defensible dimensions against
Eve. For the jamming signal alignment at Bob, we propose two opportunistic
jammer selection schemes and find the scaling law of the required number of
jammers for target secure DoF by a geometrical interpretation of the received
signals.
",2023-07-19,Computer Science - Information Theory,http://arxiv.org/abs/1309.7451
When does a physical system compute?,"  Computing is a high-level process of a physical system. Recent interest in
non-standard computing systems, including quantum and biological computers, has
brought this physical basis of computing to the forefront. There has been,
however, no consensus on how to tell if a given physical system is acting as a
computer or not; leading to confusion over novel computational devices, and
even claims that every physical event is a computation. In this paper we
introduce a formal framework that can be used to determine whether or not a
physical system is performing a computation. We demonstrate how the abstract
computational level interacts with the physical device level, drawing the
comparison with the use of mathematical models to represent physical objects in
experimental science. This powerful formulation allows a precise description of
the similarities between experiments, computation, simulation, and technology,
leading to our central conclusion: physical computing is the use of a physical
system to predict the outcome of an abstract evolution. We give conditions that
must be satisfied in order for computation to be occurring, and illustrate
these with a range of non-standard computing scenarios. The framework also
covers broader computing contexts, where there is no obvious human computer
user. We define the critical notion of a 'computational entity', and show the
role this plays in defining when computing is taking place in physical systems.
",2023-04-21,Computer Science - Emerging Technologies,http://arxiv.org/abs/1309.7979
SVD Factorization for Tall-and-Fat Matrices on Parallel Architectures,"  We demonstrate an implementation for an approximate rank-k SVD factorization,
combining well-known randomized projection techniques with previously known
paralel solutions in order to compute steps of the random projection based SVD
procedure. We structure the problem in a way that it reduces to fast
computation around $k \times k$ matrices computed on a single machine, greatly
easing the computability of the problem. The paper is also a tutorial on
paralel linear algebra methods using a plain architecture without burdensome
frameworks.
",2023-04-04,"Computer Science - Distributed, Parallel, and Cluster Computing",http://arxiv.org/abs/1310.4664
Can social microblogging be used to forecast intraday exchange rates?,"  The Efficient Market Hypothesis (EMH) is widely accepted to hold true under
certain assumptions. One of its implications is that the prediction of stock
prices at least in the short run cannot outperform the random walk model. Yet,
recently many studies stressing the psychological and social dimension of
financial behavior have challenged the validity of the EMH. Towards this aim,
over the last few years, internet-based communication platforms and search
engines have been used to extract early indicators of social and economic
trends. Here, we used Twitter's social networking platform to model and
forecast the EUR/USD exchange rate in a high-frequency intradaily trading
scale. Using time series and trading simulations analysis, we provide some
evidence that the information provided in social microblogging platforms such
as Twitter can in certain cases enhance the forecasting efficiency regarding
the very short (intradaily) forex.
",2023-03-24,Computer Science - Social and Information Networks,http://arxiv.org/abs/1310.5306
